Title,Link,Date Posted,Company,Location,Salary,Job Type
Data Analyst - Data Cleanse,https://findajob.dwp.gov.uk/details/18267016,30 April 2026,Hays Specialist Recruitment,"Birmingham, West Midlands, SW19 1TP",£350 to £450 per day,Hybrid remote
Maintenance Engineer (1019),https://findajob.dwp.gov.uk/details/18193891,16 April 2026,Wills Consultants Ltd,"Thatcham, West Berkshire","£55,100 per year",On-site only
planning Engineer,https://findajob.dwp.gov.uk/details/18162557,10 April 2026,NRL Ltd,"Middlesbrough, Tyne-Tees, Stockton On Tees","£70,000 to £80,000 per day",Contract
Graduate Software Developer,https://findajob.dwp.gov.uk/details/18193697,16 April 2026,Measom,LE4 5JD,"£26,000 to £30,000 per year",On-site only
Software Developer/Engineer,https://findajob.dwp.gov.uk/details/18229433,23 April 2026,Talent Finder,S6 1ND,Not specified,On-site only
Technology Implementation Assistant Manager - Data & Transformation - London,https://findajob.dwp.gov.uk/details/17855399,22 April 2026,KPMG UK,"London, E14 5GL",Not specified,Permanent
Senior Enterprise Architect | NHS England,https://findajob.dwp.gov.uk/details/18196689,16 April 2026,NHS England,"Nationally, LS1 4AP","£95,404.80 - £109,930.80 per annum (exclusive of HCAS) this includes a RRP payment of 20%",Permanent
Data and Analytics Lead,https://findajob.dwp.gov.uk/details/18167945,10 April 2026,Oxfordshire County Council,"Oxford/Hybrid, OX1 1ND","£63,576 to £67,003 per year",Permanent
Senior Data Architect,https://findajob.dwp.gov.uk/details/18228557,23 April 2026,Hippo Digital,"Manchester, North West, M2 1DH","£57,000 to £72,000 per year",Hybrid remote
Engineering Admin Apprentice,https://findajob.dwp.gov.uk/details/18119675,01 April 2026,HIJOBS,"Dunfermline, KY11 2BW",Not specified,On-site only
Maintenance Engineer (1007/1021),https://findajob.dwp.gov.uk/details/18236197,24 April 2026,Wills Consultants Ltd,"Sheffield, South Yorkshire","£41,600 to £52,700 per year",On-site only
Senior Insight Analyst,https://findajob.dwp.gov.uk/details/18157462,09 April 2026,Compass Group,"Birmingham, B459PZ",Not specified,Permanent
AI Senior Consultant - Tax Technology & Innovation,https://findajob.dwp.gov.uk/details/17855379,22 April 2026,KPMG UK,"Glasgow, G2 5AS",Not specified,Permanent
Assistant Industrial Door Engineer,https://findajob.dwp.gov.uk/details/18268891,30 April 2026,Get Staffed Online Recruitment Limited,"Kettering, NN16 8PX","£20,800 to £25,396 per year",On-site only
Life Cycle Consultant - Aftermarket,https://findajob.dwp.gov.uk/details/18241484,24 April 2026,Randstad CPE,"Peterborough, Cambridgeshire, PE1 5NA",£31.50 to £33.5 per hour,On-site only
Lecturer in Mechanical Engineering,https://findajob.dwp.gov.uk/details/18238219,24 April 2026,University of Derby,"Derby, Derbyshire","£38,784 to £46,049 per year",Hybrid remote
Multi-Skilled Engineer - Nights,https://findajob.dwp.gov.uk/details/18254899,28 April 2026,The Compleat Food Group,Nottingham,"£55,000 - £57,000",Permanent
Multi-Skilled Engineer,https://findajob.dwp.gov.uk/details/18254901,28 April 2026,The Compleat Food Group,Nottingham,"£55,000 - £57,000",Permanent
Multi-Skilled Engineer,https://findajob.dwp.gov.uk/details/18253002,28 April 2026,The Compleat Food Group,Nottingham,"£55,000 - £57,000",Permanent
Coded Pipe Fitter,https://findajob.dwp.gov.uk/details/18230302,23 April 2026,Mission Resourcing Ltd,"West Yorks, Yorkshire And The Humber",£25 to £27 per hour,On-site only
13998 - Quantum Fellowship in Applications of Quantum Computing,https://findajob.dwp.gov.uk/details/18148440,07 April 2026,University of Edinburgh,"Edinburgh, Scotland","£50,253 to £61,759 per year",Hybrid remote
Associate Civil Engineer,https://findajob.dwp.gov.uk/details/18180491,14 April 2026,Sweco,EC2M 7LS,Not specified,Hybrid remote
PDRA in Radar Sensing for Gait Analysis,https://findajob.dwp.gov.uk/details/18191530,15 April 2026,University of Dundee,"Dundee, Dundee, DD1 4HN","£37,174 per year",Contract
Manufacturing Senior Design Engineer,https://findajob.dwp.gov.uk/details/18224871,22 April 2026,MTS,"Hayes, London","£40,000 to £55,000 per year",On-site only
