title,experience_level,company,location,city,date_posted,salary,link,job_type
CNC Programmer / 5 Axis,Entry-Level,AWD online,"Sutton-In-Ashfield, Nottinghamshire",Sutton-In-Ashfield,2026-04-07,Not specified,https://findajob.dwp.gov.uk/details/18144281,On-site only
Graduate Process Design Engineer,Entry-Level,GI Group Main Account,"Fareham, Hampshire, PO15 7AF",Fareham,2026-04-13,"£32,000 per year",https://findajob.dwp.gov.uk/details/18176414,Permanent
Mobile Multi Skilled Engineer - Electrical Engineer Bias,Entry-Level,Mitie,MK9 1EN,MK9 1EN,2026-04-20,Not specified,https://findajob.dwp.gov.uk/details/18212788,Permanent
Senior User Researcher,Senior,Hippo Digital,"London, London, WC1R 4PS",London,2026-04-16,"£57,000 to £64,000 per year",https://findajob.dwp.gov.uk/details/18192462,Permanent
Intermediate User Researcher,Entry-Level,Hippo Digital,"Manchester, North West, M2 1DH",Manchester,2026-04-16,"£38,000 to £47,000 per year",https://findajob.dwp.gov.uk/details/18192464,Permanent
Senior Agile Delivery Manager,Senior,Hippo Digital,"Leeds, Yorkshire, LS1 4HT",Leeds,2026-04-16,"£57,000 to £64,000 per year",https://findajob.dwp.gov.uk/details/18192465,Permanent
Academic Trainer - Engineering,Entry-Level,Capita plc,PO12 3BY,PO12 3BY,2026-04-07,Not specified,https://findajob.dwp.gov.uk/details/18143300,On-site only
Graduate Engineer,Entry-Level,Capita plc,PO12 3BY,PO12 3BY,2026-04-14,Not specified,https://findajob.dwp.gov.uk/details/18180014,On-site only
Mechanical Systems Installation Design Engineer,Entry-Level,Morson Talent,BS34 7PA,BS34 7PA,2026-04-17,Not specified,https://findajob.dwp.gov.uk/details/18204897,On-site only
Electrical & Mechanical Process Engineer - Projects,Entry-Level,Micronclean Ltd,"Louth, LN11 0LS",Louth,2026-04-28,"£44,000 to £48,500 p.a.",https://findajob.dwp.gov.uk/details/18252599,Permanent
Process Engineer,Entry-Level,M Group Services,"Colchester, Anglia, CO4 9YQ",Colchester,2026-04-18,"£45,000 to £54,000 per year",https://findajob.dwp.gov.uk/details/18206253,Permanent
Senior DevOps Engineer,Senior,Hippo Digital,"Manchester, North West, M2 1DH",Manchester,2026-04-23,"£57,000 to £64,000 per year",https://findajob.dwp.gov.uk/details/18228559,Hybrid remote
Senior Python Developer,Senior,Hippo Digital,"Manchester, North West, M2 1DH",Manchester,2026-04-23,"£57,000 to £72,000 per year",https://findajob.dwp.gov.uk/details/18228565,Hybrid remote
3rd Line Support Engineer,Entry-Level,Get Staffed Online Recruitment Limited,"Whiteley, PO15 7PA",Whiteley,2026-04-08,Not specified,https://findajob.dwp.gov.uk/details/18151488,On-site only
Training Delivery Instructor - Electrical,Entry-Level,Capita plc,PO12 2AB,PO12 2AB,2026-04-15,Not specified,https://findajob.dwp.gov.uk/details/18185588,On-site only
Principal Bridge Engineer,Principal,BEAR Scotland,"Stepps, North Lanarkshire",Stepps,2026-04-30,Not specified,https://findajob.dwp.gov.uk/details/18269158,Hybrid remote
Senior Infrastructure Engineer,Senior,Lloyds Banking Group,"Leeds, West Yorkshire, LS1 4AP",Leeds,2026-04-21,"£72,702 to £80,780 per year",https://findajob.dwp.gov.uk/details/18219223,Hybrid remote
Senior Infrastructure Engineer,Senior,Lloyds Banking Group,"Edinburgh, Edinburgh, EH11 4DT",Edinburgh,2026-04-21,"£72,702 to £80,780 per year",https://findajob.dwp.gov.uk/details/18219224,Hybrid remote
Senior Service Designer,Senior,Hippo Digital,"London, London, WC1R 4PS",London,2026-04-16,"£57,000 to £64,000 per year",https://findajob.dwp.gov.uk/details/18192463,Permanent
People Advisor,Entry-Level,Hippo Digital,"Leeds, Yorkshire, LS1 4HT",Leeds,2026-04-17,"£35,000 to £38,000 per year",https://findajob.dwp.gov.uk/details/18199321,Permanent
Lead Python Developer,Lead,Hippo Digital,"Manchester, North West, M2 1DH",Manchester,2026-04-23,"£67,000 to £84,000 per year",https://findajob.dwp.gov.uk/details/18228556,Hybrid remote
Lead Java Developer,Lead,Hippo Digital,"Manchester, North West, M2 1DH",Manchester,2026-04-23,"£67,000 to £78,500 per year",https://findajob.dwp.gov.uk/details/18228555,Hybrid remote
Lead Technical Architect,Lead,Hippo Digital,"Manchester, North West, M2 1DH",Manchester,2026-04-23,"£67,000 to £84,000 per year",https://findajob.dwp.gov.uk/details/18228560,Hybrid remote
Lead Mobile Developer,Lead,Hippo Digital,"Manchester, North West, M2 1DH",Manchester,2026-04-23,"£67,000 to £76,000 per year",https://findajob.dwp.gov.uk/details/18228563,Hybrid remote
Graduate Electronics Engineer,Entry-Level,HIJOBS,"Thurso, KW14 7AN",Thurso,2026-04-11,Not specified,https://findajob.dwp.gov.uk/details/18168957,On-site only
Service Designer - 12 Month FTC,Entry-Level,Lloyds Banking Group,"Bristol, Bristol, BS1 5LF",Bristol,2026-04-30,Not specified,https://findajob.dwp.gov.uk/details/18269899,Hybrid remote
Principal Software Engineer,Principal,Hippo Digital,"Manchester, North West, M2 1DH",Manchester,2026-04-23,"£79,000 to £100,000 per year",https://findajob.dwp.gov.uk/details/18228561,Hybrid remote
Electronics Engineer,Entry-Level,HIJOBS,"Thurso, KW14 7AN",Thurso,2026-04-11,Not specified,https://findajob.dwp.gov.uk/details/18168959,On-site only
