title,experience_level,company,location,city,date_posted,salary,link,job_type
Software Engineer,Entry-Level,NHS Jobs,"Carnforth, LA6 2HQ",Carnforth,2026-04-21,"£45,000.00 to £50,000.00 per year",https://findajob.dwp.gov.uk/details/18220152,Permanent
Power BI Engineer,Entry-Level,Ipsum Utilities Limited,PR7 1NY,PR7 1NY,2026-04-23,Not specified,https://findajob.dwp.gov.uk/details/18233078,Permanent
Senior Analyst,Senior,inploi,"Salford, M275DA",Salford,2026-04-28,Not specified,https://findajob.dwp.gov.uk/details/18257147,Permanent
Deep Learning Consultant,Entry-Level,DEVI TECHNOLOGIES LIMITED,B18 6BA,B18 6BA,2026-04-19,"£54,500 to £59,500 per year",https://findajob.dwp.gov.uk/details/18206856,Hybrid remote
Lead Engineer - Software & HPC Engineering,Lead,Rullion,"Oxford, Oxfordshire, ox14 3DB",Oxford,2026-04-21,Not specified,https://findajob.dwp.gov.uk/details/18219795,Permanent
Analytics Engineer,Entry-Level,NHS Jobs,"Cwmbran, NP44 3HR",Cwmbran,2026-04-29,"£40,559.00 to £48,841.00 per year",https://findajob.dwp.gov.uk/details/18262783,Contract
Senior Data Scientist-Analytics Lead | East Suffolk and North Essex NHS Foundation Trust,Senior,Colchester Hospital University NHS Foundation Trust,"Ipswich/Colchester, CO4 5JL",Ipswich/Colchester,2026-04-27,"£57,528 - £64,750 per annum",https://findajob.dwp.gov.uk/details/18248656,Permanent
"Senior Data Developer - West Midlands, UK",Senior,Housing 21,"West Midlands, UK, B16 8TP",West Midlands,2026-04-30,"£64,787 per year",https://findajob.dwp.gov.uk/details/18271030,Permanent
Data Analyst,Entry-Level,Housing Solutions,"Maidenhead, Windsor & Maidenhead",Maidenhead,2026-04-28,"£45,000 per year",https://findajob.dwp.gov.uk/details/18252729,Hybrid remote
Data Analyst - Lead,Lead,ISS Facilities Services,E14 9SH,E14 9SH,2026-04-13,Not specified,https://findajob.dwp.gov.uk/details/18171544,On-site only
Fire extinguisher service engineer,Entry-Level,A1 Fire Protection,Glasgow edi,Glasgow edi,2026-04-24,Not specified,https://findajob.dwp.gov.uk/details/18236665,On-site only
Fire extinguisher service engineer,Entry-Level,A1 Fire Protection,Glasgow edin,Glasgow edin,2026-04-24,Not specified,https://findajob.dwp.gov.uk/details/18236337,On-site only
BI Business Manager (12 month FTC),Manager,inploi,"London, W10 5BU",London,2026-04-13,Not specified,https://findajob.dwp.gov.uk/details/18176748,Permanent
Senior Data Scientist,Senior,Lloyds Banking Group,"Manchester, Greater Manchester, M1 3HU",Manchester,2026-04-20,"£72,702 to £80,780 per year",https://findajob.dwp.gov.uk/details/18209751,Hybrid remote
Senior Data Scientist,Senior,Lloyds Banking Group,"Edinburgh, Edinburgh, EH11 4DT",Edinburgh,2026-04-20,"£72,702 to £80,780 per year",https://findajob.dwp.gov.uk/details/18209752,Hybrid remote
Senior Data Scientist,Senior,Lloyds Banking Group,"Leeds, West Yorkshire, LS1 4AP",Leeds,2026-04-20,"£72,702 to £80,780 per year",https://findajob.dwp.gov.uk/details/18209753,Hybrid remote
Senior Data Scientist,Senior,Lloyds Banking Group,"Bristol, Bristol, BS1 5LF",Bristol,2026-04-20,"£72,702 to £80,780 per year",https://findajob.dwp.gov.uk/details/18209754,Hybrid remote
Head of Business Systems,Head,Dignity,"Berkshire, SL6 8QZ",Berkshire,2026-04-30,"£150,000 per year",https://findajob.dwp.gov.uk/details/18268559,Permanent
ML Consultant,Entry-Level,DEVI TECHNOLOGIES LIMITED,B18 6BA,B18 6BA,2026-04-19,"£54,800 to £60,000 per year",https://findajob.dwp.gov.uk/details/18206822,Hybrid remote
Director - Digital Audit & Analytics,Entry-Level,KPMG UK,"Manchester, M2 3AE",Manchester,2026-04-15,Not specified,https://findajob.dwp.gov.uk/details/17864370,Permanent
Data Consultant,Entry-Level,auticon,"SE London, London",SE London,2026-04-22,"£29,000 to £40,000 per year",https://findajob.dwp.gov.uk/details/18224749,Hybrid remote
16995 - Power BI Developer,Entry-Level,Ministry of Justice,UK,UK,2026-04-21,"£42,914 to £53,081 per year",https://findajob.dwp.gov.uk/details/18215395,Hybrid remote
AI & Digital Twin Systems Engineer (KTP Associate),Entry-Level,University of Derby,"Derby, Derbyshire",Derby,2026-04-27,"£38,000 to £40,000 per year",https://findajob.dwp.gov.uk/details/18244933,On-site only
Research Fellow,Entry-Level,University of Warwick,UK,UK,2026-04-24,"£35,608 to £46,049 per year",https://findajob.dwp.gov.uk/details/18236992,Fully remote
Senior Quality Engineer,Senior,Balfour Beatty Plc,"Ipswich, IP",Ipswich,2026-04-17,Not specified,https://findajob.dwp.gov.uk/details/18203411,Permanent
Success Factor - Data Analyst,Entry-Level,Thames Water,"Reading, Home Counties, RG1 8DB",Reading,2026-04-29,"£64,000 per year",https://findajob.dwp.gov.uk/details/18258280,Permanent
34788 - Asset Performance Team Member,Entry-Level,Environment Agency,Lincoln,Lincoln,2026-04-20,"£29,751 per year",https://findajob.dwp.gov.uk/details/18210201,Hybrid remote
